Distance_(mm),Gray_Value
0.000,77.383
0.085,79.183
0.169,83.159
0.254,88.783
0.339,95.112
0.423,101.974
0.508,110.840
0.593,120.299
0.677,127.857
0.762,133.236
0.847,136.400
0.931,138.466
1.016,138.927
1.101,138.200
1.185,136.039
1.270,132.044
1.355,126.654
1.439,120.839
1.524,117.724
1.609,115.936
1.693,115.155
1.778,114.771
1.863,114.336
1.947,113.994
2.032,113.805
2.117,113.843
2.201,113.857
2.286,113.976
2.371,113.982
2.455,114.093
2.540,113.979
2.625,114.025
2.709,113.830
2.794,113.669
2.879,113.431
2.963,113.581
3.048,113.658
3.133,113.827
3.217,113.803
3.302,113.690
3.387,113.543
3.471,113.540
3.556,113.565
3.641,113.316
3.725,113.453
3.810,113.384
3.895,113.253
3.979,113.202
4.064,113.304
4.149,113.165
4.233,113.285
4.318,113.327
4.403,113.072
4.487,113.012
4.572,112.886
4.657,112.917
4.741,112.570
4.826,112.539
4.911,112.626
4.995,112.717
5.080,112.586
5.165,112.389
5.249,112.973
5.334,113.023
5.419,113.003
5.503,112.992
5.588,113.492
5.673,113.475
5.757,113.686
5.842,113.774
5.927,113.983
6.011,113.898
6.096,113.833
6.181,113.997
6.265,113.923
6.350,114.215
6.435,114.331
6.519,114.208
6.604,114.474
6.689,114.641
6.773,114.663
6.858,114.676
6.943,114.924
7.027,114.921
7.112,114.829
7.197,114.934
7.281,115.010
7.366,114.946
7.451,114.928
7.535,115.227
7.620,115.259
7.705,115.146
7.789,115.301
7.874,115.242
7.959,115.238
8.043,115.210
8.128,115.282
8.213,115.487
8.297,115.569
8.382,115.424
8.467,115.503
8.551,115.246
8.636,115.225
8.721,115.353
8.805,115.279
8.890,115.374
8.975,115.336
9.059,115.298
9.144,115.204
9.229,114.781
9.313,114.672
9.398,114.989
9.483,114.665
9.567,114.170
9.652,114.738
9.737,115.367
9.821,115.605
9.906,115.544
9.991,115.418
10.075,115.761
10.160,115.810
10.245,115.954
10.329,116.096
10.414,116.128
10.499,116.221
10.583,116.196
10.668,116.187
10.753,116.102
10.837,116.066
10.922,116.177
11.007,116.043
11.091,116.136
11.176,116.138
11.261,116.328
11.345,116.424
11.430,116.639
11.515,116.505
11.599,116.415
11.684,116.431
11.769,116.467
11.853,116.478
11.938,116.456
12.023,116.678
12.107,116.973
12.192,116.970
12.277,117.182
12.361,117.269
12.446,117.535
12.531,117.996
12.615,117.990
12.700,117.950
12.785,117.975
12.869,118.168
12.954,118.314
13.039,118.572
13.123,118.550
13.208,118.963
13.293,118.938
13.377,119.254
13.462,119.467
13.547,119.410
13.631,119.484
13.716,119.956
13.801,120.266
13.885,120.500
13.970,120.526
14.055,120.858
14.139,120.977
14.224,121.315
14.309,121.688
14.393,121.834
14.478,121.986
14.563,122.148
14.647,122.416
14.732,122.886
14.817,123.088
14.901,123.341
14.986,123.291
15.071,123.605
15.155,123.955
15.240,124.231
15.325,124.627
15.409,124.959
15.494,125.034
15.579,125.379
15.663,125.375
15.748,125.512
15.833,125.888
15.917,125.948
16.002,126.058
16.087,126.223
16.171,126.216
16.256,126.250
16.341,126.184
16.425,126.373
16.510,126.523
16.595,126.741
16.679,126.946
16.764,126.703
16.849,126.786
16.933,126.863
17.018,126.818
17.103,127.224
17.187,127.625
17.272,127.599
17.357,127.627
17.441,127.879
17.526,127.966
17.611,128.010
17.695,128.172
17.780,128.460
17.865,128.704
17.949,128.745
18.034,128.900
18.119,129.392
18.203,129.706
18.288,129.870
18.373,130.114
18.457,130.438
18.542,131.019
18.627,131.949
18.711,132.545
18.796,133.183
18.881,134.280
18.965,135.696
19.050,137.272
19.135,138.276
19.219,138.662
19.304,139.806
19.389,139.848
19.473,139.743
19.558,139.877
19.643,140.234
19.727,140.533
19.812,141.698
19.897,143.404
19.981,144.616
20.066,145.213
20.151,144.895
20.235,145.209
20.320,146.037
20.405,147.164
20.489,148.299
20.574,149.815
20.659,150.444
20.743,151.096
20.828,152.320
20.913,153.872
20.997,155.110
21.082,155.683
21.167,155.832
21.251,155.649
21.336,155.448
21.421,155.790
21.505,156.839
21.590,157.414
21.675,158.135
21.759,159.545
21.844,160.102
21.929,160.400
22.013,161.240
22.098,162.968
22.183,165.019
22.267,166.083
22.352,167.493
22.437,168.989
22.521,170.479
22.606,171.029
22.691,172.026
22.775,173.682
22.860,175.566
22.945,178.480
23.029,180.952
23.114,182.413
23.199,183.551
23.283,184.232
23.368,184.978
23.453,185.565
23.537,185.706
23.622,185.638
23.707,185.180
23.791,184.595
23.876,183.781
23.961,183.046
24.045,183.312
24.130,184.756
24.215,185.824
24.299,185.938
24.384,186.166
24.469,186.571
24.553,187.736
24.638,188.799
24.723,188.720
24.807,188.318
24.892,188.111
24.977,188.235
25.061,188.890
25.146,189.128
25.231,189.180
25.315,189.211
25.400,188.647
25.485,188.121
25.569,188.358
25.654,188.359
25.739,188.182
25.823,188.666
25.908,188.932
25.993,189.455
26.077,189.157
26.162,188.693
26.247,189.355
26.331,189.132
26.416,188.947
26.501,189.068
26.585,189.453
26.670,189.842
26.755,190.121
26.839,190.780
26.924,191.069
27.009,191.235
27.093,191.764
27.178,191.630
27.263,191.253
27.347,191.043
27.432,190.703
27.517,190.983
27.601,191.015
27.686,191.186
27.771,191.269
27.855,190.882
27.940,191.184
28.025,191.489
28.109,191.680
28.194,191.617
28.279,191.851
28.363,192.354
28.448,192.804
28.533,193.596
28.617,194.774
28.702,195.617
28.787,195.515
28.871,195.318
28.956,194.874
29.041,194.430
29.125,194.690
29.210,195.353
29.295,196.294
29.379,196.719
29.464,196.669
29.549,196.672
29.633,197.027
29.718,197.161
29.803,196.617
29.887,196.266
29.972,196.225
30.057,196.785
30.141,197.216
30.226,197.488
30.311,198.140
30.395,198.951
30.480,199.781
30.565,200.363
30.649,200.755
30.734,201.133
30.819,201.414
30.903,201.409
30.988,201.693
31.073,201.949
31.157,201.828
31.242,201.689
31.327,201.946
31.411,201.875
31.496,201.879
31.581,201.990
31.665,201.886
31.750,202.090
31.835,202.224
31.919,202.230
32.004,202.481
32.089,202.520
32.173,202.722
32.258,202.801
32.343,202.972
32.427,202.740
32.512,202.854
32.597,203.411
32.681,203.877
32.766,204.240
32.851,204.275
32.935,203.569
33.020,204.045
33.105,204.399
33.189,204.618
33.274,204.974
33.359,205.071
33.443,204.793
33.528,204.505
33.613,204.852
33.697,204.812
33.782,205.040
33.867,205.078
33.951,205.130
34.036,205.052
34.121,205.157
34.205,205.354
34.290,205.353
34.375,205.462
34.459,205.311
34.544,205.263
34.629,205.205
34.713,205.175
34.798,205.178
34.883,205.327
34.967,204.742
35.052,204.830
35.137,204.541
35.221,203.721
35.306,202.338
35.391,200.482
35.475,196.899
35.560,192.482
35.645,188.291
35.729,185.503
35.814,183.770
35.899,182.527
35.983,181.434
36.068,181.046
36.153,181.002
36.237,179.936
36.322,178.057
36.407,176.599
36.491,175.533
36.576,173.878
36.661,172.274
36.745,171.373
36.830,170.557
36.915,170.123
36.999,169.761
37.084,168.404
37.169,167.194
37.253,166.572
37.338,165.692
37.423,165.059
37.507,164.934
37.592,163.631
37.677,161.388
37.761,159.649
37.846,157.942
37.931,157.094
38.015,156.764
38.100,156.899
38.185,157.001
38.269,157.087
38.354,156.838
38.439,155.592
38.523,153.429
38.608,151.198
38.693,149.687
38.777,148.292
38.862,147.203
38.947,146.836
39.031,146.242
39.116,146.107
39.201,144.843
39.285,144.102
39.370,143.821
39.455,143.996
39.539,143.596
39.624,142.874
39.709,142.106
39.793,141.157
39.878,139.909
39.963,138.449
40.047,137.544
40.132,137.088
40.217,136.959
40.301,136.066
40.386,134.916
40.471,134.598
40.555,134.118
40.640,134.033
40.725,134.103
40.809,133.392
40.894,133.016
40.979,132.734
41.063,133.375
41.148,133.932
41.233,134.061
41.317,133.911
41.402,134.027
41.487,134.282
41.571,134.405
41.656,134.189
41.741,134.197
41.825,134.089
41.910,134.238
41.995,134.304
42.079,134.187
42.164,134.362
42.249,134.477
42.333,134.362
42.418,134.379
42.503,134.452
42.587,134.657
42.672,134.523
42.757,134.647
42.841,134.753
42.926,134.670
43.011,134.813
43.095,134.918
43.180,134.738
43.265,134.841
43.349,134.845
43.434,135.049
43.519,134.896
43.603,134.930
43.688,135.222
43.773,135.387
43.857,135.631
43.942,135.513
44.027,135.615
44.111,135.872
44.196,135.988
44.281,136.029
44.365,136.189
44.450,136.275
44.535,136.212
44.619,136.503
44.704,136.645
44.789,136.702
44.873,137.009
44.958,136.860
45.043,136.786
45.127,137.049
45.212,137.206
45.297,137.033
45.381,137.187
45.466,137.215
45.551,137.099
45.635,137.206
45.720,137.207
45.805,137.368
45.889,137.413
45.974,137.581
46.059,137.848
46.143,137.943
46.228,138.337
46.313,138.555
46.397,138.605
46.482,139.010
46.567,139.060
46.651,139.214
46.736,139.174
46.821,139.235
46.905,139.414
46.990,139.614
47.075,139.615
47.159,139.953
47.244,139.978
47.329,139.837
47.413,140.171
47.498,140.269
47.583,140.299
47.667,140.612
47.752,140.727
47.837,140.882
47.921,140.922
48.006,141.326
48.091,141.271
48.175,141.399
48.260,141.612
48.345,141.610
48.429,141.579
48.514,141.657
48.599,141.596
48.683,141.332
48.768,141.108
48.853,141.280
48.937,141.225
49.022,140.990
49.107,141.179
49.191,141.100
49.276,141.152
49.361,141.216
49.445,141.551
49.530,141.538
49.615,141.564
49.699,141.619
49.784,141.756
49.869,141.630
49.953,141.836
50.038,141.707
50.123,141.976
50.207,142.000
50.292,142.010
50.377,142.170
50.461,142.270
50.546,142.419
50.631,142.456
50.715,142.264
50.800,141.980
50.885,141.901
50.969,142.608
51.054,142.684
51.139,142.908
51.223,142.645
51.308,141.751
51.393,141.904
51.477,142.998
51.562,143.266
51.647,143.263
51.731,143.435
51.816,143.660
51.901,143.628
51.985,143.781
52.070,143.628
52.155,143.827
52.239,143.955
52.324,144.066
52.409,144.096
52.493,144.156
52.578,144.174
52.663,144.068
52.747,144.191
52.832,144.167
52.917,144.136
53.001,144.172
53.086,144.202
53.171,144.278
53.255,144.387
53.340,144.649
53.425,144.581
53.509,144.768
53.594,144.996
53.679,145.076
53.763,144.937
53.848,144.778
53.933,144.761
54.017,144.732
54.102,144.939
54.187,145.061
54.271,145.086
54.356,145.190
54.441,145.110
54.525,145.211
54.610,145.311
54.695,145.382
54.779,145.518
54.864,145.444
54.949,145.569
55.033,145.750
55.118,145.898
55.203,146.159
55.287,146.205
55.372,146.367
55.457,146.435
55.541,146.752
55.626,146.842
55.711,146.859
55.795,146.824
55.880,146.979
55.965,147.151
56.049,147.142
56.134,147.153
56.219,147.481
56.303,147.792
56.388,148.009
56.473,148.488
56.557,148.741
56.642,148.795
56.727,148.924
56.811,149.066
56.896,149.074
56.981,149.226
57.065,149.387
57.150,149.527
57.235,149.771
57.319,149.794
57.404,150.019
57.489,150.023
57.573,150.079
57.658,150.250
57.743,150.440
57.827,150.498
57.912,150.501
57.997,150.541
58.081,150.523
58.166,150.293
58.251,150.322
58.335,150.132
58.420,150.120
58.505,150.164
58.589,150.338
58.674,150.664
58.759,150.801
58.843,150.687
58.928,150.729
59.013,150.891
59.097,150.903
59.182,151.032
59.267,151.183
59.351,151.182
59.436,151.262
59.521,151.367
59.605,151.515
59.690,151.515
59.775,151.632
59.859,151.594
59.944,151.357
60.029,151.323
60.113,151.666
60.198,152.117
60.283,152.318
60.367,152.013
60.452,152.249
60.537,152.240
60.621,152.244
60.706,152.239
