X,Y
0.98333,202.7525
0.98667,201.4748
0.99000,200.2057
0.99333,199.3768
0.99667,199.1199
1.00000,199.5320
1.00333,200.3693
1.00667,201.7071
1.01000,203.2368
1.01333,204.6471
1.01667,205.8564
1.02000,208.0178
1.02333,211.0603
1.02667,215.0073
1.03000,219.3555
1.03333,223.2242
1.03667,226.0424
1.04000,227.9304
1.04333,229.0571
1.04667,229.7398
1.05000,229.9004
1.05333,229.9043
1.05667,229.8277
1.06000,229.9239
1.06333,229.9509
1.06667,229.9517
1.07000,229.8860
1.07333,229.9148
1.07667,229.9447
1.08000,229.8982
1.08333,229.9581
1.08667,229.9237
1.09000,229.8456
1.09333,229.9126
1.09667,229.9633
1.10000,229.9296
1.10333,229.9473
1.10667,229.9070
1.11000,229.9671
1.11333,229.9208
1.11667,229.9151
1.12000,229.9061
1.12333,229.9523
1.12667,229.9222
1.13000,229.8383
1.13333,229.9075
1.13667,229.9551
1.14000,229.8571
1.14333,229.8966
1.14667,229.9664
1.15000,229.9132
1.15333,229.9472
1.15667,229.8918
1.16000,229.9193
1.16333,229.9108
1.16667,229.9392
1.17000,229.9428
1.17333,229.9353
1.17667,229.9378
1.18000,229.9648
1.18333,229.9576
1.18667,229.9396
1.19000,229.9493
1.19333,229.9471
1.19667,229.8849
1.20000,229.9147
1.20333,229.9383
1.20667,229.9736
1.21000,229.9333
1.21333,229.9394
1.21667,229.9729
1.22000,229.9765
1.22333,229.9399
1.22667,229.9596
1.23000,229.9798
1.23333,229.9465
1.23667,229.9244
1.24000,229.9505
1.24333,229.9854
1.24667,229.9518
1.25000,229.9779
1.25333,230.0298
1.25667,229.9778
1.26000,229.9570
1.26333,229.9502
1.26667,229.9535
1.27000,230.0324
1.27333,230.0175
1.27667,229.9999
1.28000,229.9780
1.28333,230.0029
1.28667,230.0059
1.29000,229.9943
1.29333,229.9987
1.29667,230.0453
1.30000,230.0072
1.30333,230.0018
1.30667,230.0338
1.31000,229.9979
1.31333,229.9860
1.31667,230.0303
1.32000,230.0202
1.32333,229.9023
1.32667,229.7327
1.33000,229.6858
1.33333,229.7290
1.33667,229.6759
1.34000,229.7704
1.34333,229.8911
1.34667,229.9527
1.35000,229.9807
1.35333,230.0612
1.35667,229.9971
1.36000,229.9748
1.36333,229.9743
1.36667,229.8904
1.37000,229.9412
1.37333,229.9970
1.37667,230.0220
1.38000,230.0592
1.38333,230.1112
1.38667,230.0209
1.39000,230.0520
1.39333,230.0683
1.39667,230.0768
1.40000,230.0474
1.40333,230.0840
1.40667,230.1101
1.41000,230.0022
1.41333,230.0160
1.41667,230.0173
1.42000,230.0328
1.42333,230.0267
1.42667,230.0246
1.43000,230.0263
1.43333,230.0303
1.43667,230.0923
1.44000,230.0268
1.44333,230.0217
1.44667,230.0682
1.45000,229.9799
1.45333,230.0028
1.45667,229.9474
1.46000,229.9637
1.46333,229.9754
1.46667,230.0110
1.47000,230.0029
1.47333,230.0003
1.47667,229.9477
1.48000,229.9535
1.48333,229.9393
1.48667,229.8503
1.49000,229.8630
1.49333,229.9625
1.49667,229.9380
1.50000,229.8902
1.50333,229.9552
1.50667,229.9650
1.51000,229.8839
1.51333,229.8919
1.51667,229.9241
1.52000,229.8959
1.52333,229.8171
1.52667,229.8652
1.53000,229.7440
1.53333,229.8179
1.53667,229.8438
1.54000,229.7805
1.54333,229.6579
1.54667,229.7775
1.55000,229.6940
1.55333,229.7128
1.55667,229.8359
1.56000,229.7527
1.56333,229.7827
1.56667,229.7227
1.57000,229.7141
1.57333,229.7447
1.57667,229.7871
1.58000,229.7110
1.58333,229.6057
1.58667,229.6698
1.59000,229.6726
1.59333,229.5413
1.59667,229.7108
1.60000,229.6703
1.60333,229.5073
1.60667,229.5471
1.61000,229.5884
1.61333,229.5208
1.61667,229.5289
1.62000,229.6351
1.62333,229.5045
1.62667,229.4843
1.63000,229.5447
1.63333,229.4527
1.63667,229.3582
1.64000,229.4998
1.64333,229.4978
1.64667,229.4393
1.65000,229.5154
1.65333,229.4186
1.65667,229.4854
1.66000,229.4330
1.66333,229.4329
1.66667,229.5262
1.67000,229.4908
1.67333,229.5054
1.67667,229.4872
1.68000,229.4806
1.68333,229.4714
1.68667,229.4493
1.69000,229.4820
1.69333,229.4897
1.69667,229.4045
1.70000,229.3845
1.70333,229.3439
1.70667,229.2920
1.71000,229.2260
1.71333,229.2671
1.71667,229.1606
1.72000,229.1099
1.72333,229.2910
1.72667,229.3211
1.73000,229.2849
1.73333,229.3479
1.73667,229.1684
1.74000,228.9452
1.74333,229.0197
1.74667,229.0558
1.75000,228.8946
1.75333,228.9080
1.75667,228.7997
1.76000,228.8152
1.76333,228.9001
1.76667,228.7368
1.77000,228.7752
1.77333,228.6743
1.77667,228.6347
1.78000,228.4988
1.78333,228.5057
1.78667,228.4351
1.79000,228.3994
1.79333,228.3712
1.79667,228.2590
1.80000,228.0607
1.80333,228.0291
1.80667,227.9175
1.81000,228.0141
1.81333,227.9148
1.81667,227.7852
1.82000,227.7191
1.82333,227.6333
1.82667,227.5336
1.83000,227.6004
1.83333,227.4510
1.83667,227.3975
1.84000,227.2521
1.84333,227.2705
1.84667,227.2399
1.85000,227.2515
1.85333,227.2528
1.85667,227.1118
1.86000,227.0743
1.86333,227.0503
1.86667,227.0486
1.87000,226.9726
1.87333,226.9232
1.87667,226.8389
1.88000,226.8709
1.88333,226.9034
1.88667,226.9034
1.89000,226.8418
1.89333,226.6954
1.89667,226.7070
1.90000,226.6645
1.90333,226.6586
1.90667,226.5960
1.91000,226.5319
1.91333,226.4753
1.91667,226.4102
1.92000,226.3413
1.92333,225.8923
1.92667,225.9475
1.93000,225.8322
1.93333,225.8578
1.93667,225.9129
1.94000,225.7010
1.94333,225.5843
1.94667,225.4707
1.95000,225.3913
1.95333,225.1467
1.95667,225.0264
1.96000,224.9125
1.96333,224.7935
1.96667,224.6305
1.97000,224.5439
1.97333,224.3010
1.97667,224.0421
1.98000,223.8274
1.98333,223.5401
1.98667,223.3671
1.99000,223.1768
1.99333,222.9952
1.99667,222.7579
