X,Y
0.00000,160.4997
0.00333,160.7002
0.00667,160.6941
0.01000,160.7936
0.01333,160.9421
0.01667,161.0360
0.02000,161.0974
0.02333,161.1789
0.02667,161.2280
0.03000,161.1669
0.03333,161.3101
0.03667,161.4973
0.04000,161.5882
0.04333,161.5333
0.04667,161.6055
0.05000,161.7203
0.05333,161.6332
0.05667,161.7116
0.06000,161.8004
0.06333,161.9256
0.06667,162.0084
0.07000,162.0996
0.07333,162.0561
0.07667,162.1417
0.08000,162.2707
0.08333,162.4249
0.08667,162.5435
0.09000,162.8372
0.09333,162.8815
0.09667,163.0703
0.10000,163.2098
0.10333,163.2386
0.10667,163.3008
0.11000,163.3968
0.11333,163.5028
0.11667,163.6103
0.12000,163.7081
0.12333,163.9480
0.12667,163.9464
0.13000,164.0363
0.13333,164.1466
0.13667,164.2612
0.14000,164.2540
0.14333,164.4230
0.14667,164.4350
0.15000,164.6938
0.15333,164.8143
0.15667,164.9475
0.16000,165.1310
0.16333,165.1810
0.16667,165.2834
0.17000,165.3937
0.17333,165.4689
0.17667,165.6137
0.18000,165.8868
0.18333,166.2456
0.18667,166.6751
0.19000,166.7270
0.19333,166.8589
0.19667,167.0690
0.20000,167.4525
0.20333,167.6267
0.20667,167.8181
0.21000,167.9668
0.21333,168.0803
0.21667,168.1867
0.22000,168.2963
0.22333,168.6596
0.22667,168.9781
0.23000,169.1473
0.23333,169.1267
0.23667,169.2543
0.24000,169.3064
0.24333,169.3564
0.24667,169.4189
0.25000,169.3853
0.25333,169.3520
0.25667,169.5439
0.26000,169.8378
0.26333,170.0549
0.26667,170.2450
0.27000,170.5895
0.27333,170.9907
0.27667,171.2270
0.28000,171.5384
0.28333,171.7812
0.28667,171.8853
0.29000,171.9055
0.29333,171.9190
0.29667,171.9739
0.30000,172.0530
0.30333,172.1137
0.30667,172.1067
0.31000,172.1258
0.31333,172.1925
0.31667,172.2987
0.32000,172.3556
0.32333,172.3660
0.32667,172.4037
0.33000,172.5184
0.33333,172.5456
0.33667,172.6141
0.34000,172.7366
0.34333,172.8977
0.34667,173.0794
0.35000,173.2549
0.35333,173.4420
0.35667,173.7899
0.36000,173.8998
0.36333,174.1759
0.36667,174.3159
0.37000,174.5159
0.37333,174.8820
0.37667,175.1758
0.38000,175.4367
0.38333,175.6572
0.38667,175.8585
0.39000,176.0288
0.39333,176.1050
0.39667,176.2854
0.40000,176.2862
0.40333,176.4750
0.40667,176.7210
0.41000,176.9143
0.41333,177.0336
0.41667,177.3420
0.42000,177.5736
0.42333,177.8185
0.42667,178.0697
0.43000,178.3253
0.43333,178.5676
0.43667,178.8430
0.44000,178.9037
0.44333,179.1298
0.44667,179.4859
0.45000,179.6642
0.45333,179.8905
0.45667,180.0975
0.46000,180.1658
0.46333,180.3167
0.46667,180.4569
0.47000,180.5887
0.47333,180.7050
0.47667,180.7491
0.48000,180.9249
0.48333,181.1582
0.48667,181.3942
0.49000,181.7039
0.49333,181.9546
0.49667,182.2135
0.50000,182.4600
0.50333,182.7559
0.50667,182.8680
0.51000,182.8937
0.51333,183.1079
0.51667,183.1259
0.52000,183.3223
0.52333,183.4150
0.52667,183.4822
0.53000,183.4965
0.53333,183.5947
0.53667,183.8747
0.54000,184.2151
0.54333,184.3344
0.54667,184.5879
0.55000,184.8442
0.55333,185.1893
0.55667,185.4627
0.56000,185.7490
0.56333,185.9756
0.56667,186.2416
0.57000,186.6219
0.57333,186.9910
0.57667,187.3801
0.58000,187.6006
0.58333,187.8187
0.58667,188.1592
0.59000,188.3982
0.59333,188.6550
0.59667,188.9340
0.60000,189.1591
0.60333,189.5260
0.60667,189.9787
0.61000,190.2847
0.61333,190.6453
0.61667,191.1132
0.62000,191.6659
0.62333,191.9213
0.62667,192.4363
0.63000,192.9772
0.63333,193.5134
0.63667,193.7272
0.64000,193.9505
0.64333,194.1517
0.64667,194.3651
0.65000,194.6766
0.65333,194.9570
0.65667,195.3015
0.66000,195.6435
0.66333,195.8321
0.66667,196.1626
0.67000,196.5168
0.67333,196.8500
0.67667,197.2682
0.68000,197.6757
0.68333,198.1182
0.68667,198.5137
0.69000,198.7211
0.69333,198.8928
0.69667,198.9232
0.70000,199.0709
0.70333,199.2739
0.70667,199.6214
0.71000,200.0132
0.71333,200.2104
0.71667,200.5930
0.72000,200.9053
0.72333,201.3521
0.72667,201.7924
0.73000,202.2085
0.73333,202.5901
0.73667,202.6860
0.74000,202.8934
0.74333,203.0667
0.74667,203.2718
0.75000,203.3607
0.75333,203.6769
0.75667,204.0917
0.76000,204.4352
0.76333,204.6080
0.76667,205.0327
0.77000,205.6608
0.77333,206.1316
0.77667,206.3766
0.78000,206.1927
0.78333,206.4266
0.78667,207.0454
0.79000,207.2585
0.79333,207.4432
0.79667,207.6278
0.80000,207.8565
0.80333,208.1800
0.80667,208.5621
0.81000,208.8888
0.81333,209.0146
0.81667,209.3815
0.82000,209.6890
0.82333,210.0211
0.82667,210.0935
0.83000,210.4572
0.83333,210.5756
0.83667,210.6501
0.84000,210.6934
0.84333,210.8342
0.84667,210.8163
0.85000,210.7254
0.85333,210.7558
0.85667,210.7950
0.86000,210.8402
0.86333,210.8389
0.86667,210.9622
0.87000,211.0339
0.87333,211.4838
0.87667,211.8670
0.88000,212.3500
0.88333,212.7002
0.88667,212.9757
0.89000,213.1581
0.89333,213.4606
0.89667,213.6369
0.90000,213.7365
0.90333,213.7649
0.90667,213.7964
0.91000,213.8855
0.91333,213.9597
0.91667,214.1268
0.92000,214.3348
0.92333,214.6007
0.92667,214.9213
0.93000,215.1279
0.93333,215.1356
0.93667,215.3334
0.94000,215.3538
0.94333,215.1668
0.94667,214.9933
0.95000,214.7935
0.95333,214.3570
0.95667,213.5828
0.96000,212.7262
0.96333,211.3592
0.96667,209.9610
0.97000,208.5134
0.97333,207.0431
0.97667,205.5491
0.98000,204.0691
