X,Y
1.06333,228.1924
1.06667,228.2673
1.07000,228.3779
1.07333,228.4247
1.07667,228.1880
1.08000,228.2801
1.08333,228.2165
1.08667,228.3383
1.09000,228.4160
1.09333,228.4431
1.09667,228.3349
1.10000,228.3397
1.10333,228.5327
1.10667,228.4998
1.11000,228.4744
1.11333,228.5430
1.11667,228.6794
1.12000,228.6437
1.12333,228.6434
1.12667,228.6965
1.13000,228.6559
1.13333,228.7508
1.13667,228.6636
1.14000,228.8315
1.14333,228.9128
1.14667,228.7855
1.15000,228.8278
1.15333,228.8645
1.15667,228.9134
1.16000,228.9331
1.16333,228.9394
1.16667,228.9575
1.17000,228.9095
1.17333,228.8863
1.17667,229.0080
1.18000,229.0836
1.18333,228.9863
1.18667,228.9609
1.19000,229.1474
1.19333,229.1545
1.19667,229.1781
1.20000,229.2064
1.20333,229.2730
1.20667,229.3517
1.21000,229.3857
1.21333,229.3687
1.21667,229.3756
1.22000,229.3312
1.22333,229.2682
1.22667,229.3441
1.23000,229.4529
1.23333,229.6171
1.23667,229.5961
1.24000,229.6868
1.24333,229.6157
1.24667,229.5719
1.25000,229.5314
1.25333,228.9387
1.25667,228.1833
1.26000,229.4775
1.26333,229.6683
1.26667,229.7374
1.27000,229.8567
1.27333,229.7346
1.27667,229.7272
1.28000,229.7060
1.28333,229.7591
1.28667,229.8461
1.29000,229.7708
1.29333,229.7386
1.29667,229.7317
1.30000,229.8296
1.30333,229.8312
1.30667,229.8018
1.31000,229.8385
1.31333,229.7761
1.31667,229.7998
1.32000,229.7895
1.32333,229.7889
1.32667,229.7782
1.33000,229.8542
1.33333,229.8223
1.33667,229.8905
1.34000,229.8456
1.34333,229.8632
1.34667,229.8417
1.35000,229.8081
1.35333,229.8475
1.35667,229.8697
1.36000,229.8642
1.36333,229.8672
1.36667,229.8079
1.37000,229.8632
1.37333,229.8901
1.37667,229.9641
1.38000,229.9327
1.38333,229.9346
1.38667,229.8391
1.39000,229.9753
1.39333,229.9657
1.39667,229.9712
1.40000,229.9910
1.40333,229.9429
1.40667,229.9681
1.41000,229.8424
1.41333,229.9484
1.41667,229.9147
1.42000,229.9006
1.42333,229.8571
1.42667,229.8473
1.43000,229.9311
1.43333,229.9430
1.43667,229.9283
1.44000,229.9704
1.44333,230.0083
1.44667,229.9399
1.45000,230.0078
1.45333,229.9913
1.45667,229.9324
1.46000,229.9552
1.46333,230.0005
1.46667,229.9836
1.47000,229.9653
1.47333,229.9857
1.47667,230.0115
1.48000,230.0570
1.48333,229.9454
1.48667,229.9436
1.49000,229.9079
1.49333,229.9856
1.49667,230.0137
1.50000,230.0243
1.50333,229.9735
1.50667,229.8961
1.51000,229.9928
